Name,Source Language,Target Language,Compiler Exit Code,Request,Response,Compiler Output 
basic_02,C,Swift,1,{"presence_penalty":0 "stop":["###"] "model":"text-davinci-003" "prompt":"# Convert this from C to Swift\n# C version\n\nstruct X {\n  int A;\n  int B;\n  double C;\n};\n\nvoid modX(struct X *A) {\n  A->A = 42;\n  A->B = 13;\n  A->C = 1.23;\n}\n\nint main() {\n  struct X A;\n  modX(&A);\n  return A.B;\n}\n# End\n # Swift version" "max_tokens":2048 "frequency_penalty":0},{"id":"cmpl-6kXiy5LHVA6g6bK1jlBv1hmlMXksK" "object":"text_completion" "created":1676550744 "model":"text-davinci-003" "choices":[{"index":0 "text":"\n\nstruct X {\n  var A: Int\n  var B: Int\n  var C: Double\n}\n\nfunc modX(A: inout X) {\n  A.A = 42\n  A.B = 13\n  A.C = 1.23\n}\n\nfunc main() {\n  var A = X(A: 0  B: 0  C: 0)\n  modX(A: &A)\n  return A.B\n}" "finish_reason":"stop"}] "usage":{"total_tokens":214 "completion_tokens":106 "prompt_tokens":108}},/swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-0/basic_02.swift:18:12: error: unexpected non-void return value in void function   return A.B            ^ /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-0/basic_02.swift:18:12: note: did you mean to add a return type?   return A.B            ^  
basic_02,C,Swift,1,{"presence_penalty":0 "stop":["###"] "model":"text-davinci-003" "prompt":"# Convert this from C to Swift\n# C version\n\nstruct X {\n  int A;\n  int B;\n  double C;\n};\n\nvoid modX(struct X *A) {\n  A->A = 42;\n  A->B = 13;\n  A->C = 1.23;\n}\n\nint main() {\n  struct X A;\n  modX(&A);\n  return A.B;\n}\n# End\n # Swift version" "max_tokens":2048 "frequency_penalty":0},{"id":"cmpl-6kXj7OQ6aMpOhOD13NO3uhAWwEMJp" "object":"text_completion" "created":1676550753 "model":"text-davinci-003" "choices":[{"index":0 "text":"\n\nstruct X {\n  var A: Int\n  var B: Int\n  var C: Double\n}\n\nfunc modX(var A: X){\n  A.A = 42\n  A.B = 13\n  A.C = 1.23\n}\n\nfunc main() -> Int {\n  var A = X(A:0  B:0  C:0.0)\n  modX(&A)\n  return A.B\n}" "finish_reason":"stop"}] "usage":{"total_tokens":213 "completion_tokens":105 "prompt_tokens":108}},/swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-1/basic_02.swift:9:11: warning: 'var' in this position is interpreted as an argument label func modX(var A: X){           ^~~           `var` /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-1/basic_02.swift:10:5: error: cannot assign to property: 'A' is a 'let' constant   A.A = 42   ~ ^ /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-1/basic_02.swift:11:5: error: cannot assign to property: 'A' is a 'let' constant   A.B = 13   ~ ^ /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-1/basic_02.swift:12:5: error: cannot assign to property: 'A' is a 'let' constant   A.C = 1.23   ~ ^ /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-1/basic_02.swift:17:8: error: missing argument label 'var:' in call   modX(&A)        ^        var:  /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-1/basic_02.swift:17:8: error: '&' used with non-inout argument of type 'X'   modX(&A)        ^~          
basic_02,C,Swift,1,{"presence_penalty":0 "stop":["###"] "model":"text-davinci-003" "prompt":"# Convert this from C to Swift\n# C version\n\nstruct X {\n  int A;\n  int B;\n  double C;\n};\n\nvoid modX(struct X *A) {\n  A->A = 42;\n  A->B = 13;\n  A->C = 1.23;\n}\n\nint main() {\n  struct X A;\n  modX(&A);\n  return A.B;\n}\n# End\n # Swift version" "max_tokens":2048 "frequency_penalty":0},{"id":"cmpl-6kXjGXpn6oInZhN6XuMqoqalxZvFA" "object":"text_completion" "created":1676550762 "model":"text-davinci-003" "choices":[{"index":0 "text":"\n\nstruct X {\n  var A: Int\n  var B: Int\n  var C: Double\n}\n\nfunc modX(A: inout X) {\n  A.A = 42\n  A.B = 13\n  A.C = 1.23\n}\n\nfunc main() -> Int {\n  var A = X()\n  modX(A: &A)\n  return A.B\n}" "finish_reason":"stop"}] "usage":{"total_tokens":204 "completion_tokens":96 "prompt_tokens":108}},/swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-2/basic_02.swift:16:12: error: missing arguments for parameters 'A'  'B'  'C' in call   var A = X()            ^             A: <#Int#>  B: <#Int#>  C: <#Double#> /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-2/basic_02.swift:3:8: note: 'init(A:B:C:)' declared here struct X {        ^  
basic_01,C,Swift,1,{"presence_penalty":0 "stop":["###"] "model":"text-davinci-003" "prompt":"# Convert this from C to Swift\n# C version\n#include <stdarg.h>\n\nint foo(int A  int B) { return 0; }\n\nint bar() { return 0; }\n\nint baz(int A  int B  int C) { return 0; }\n\nvoid quark() {}\n\ndouble average(int Count  ...) {\n  va_list Args;\n  double Tot = 0;\n  va_start(Args  Count);\n  for (int J = 0; J < Count; J++) {\n    Tot += va_arg(Args  double);\n  }\n  va_end(Args);\n  return Tot \/ Count;\n}\n\nint main() {\n  int A = foo(42  13);\n  int B = bar();\n  int C = A + 42;\n  C = baz(C  A  B);\n  quark();\n  double Avg = average(1  2  3  4  5  6  7  8  9  10  11  12);\n  return C;\n}\n# End\n # Swift version" "max_tokens":2048 "frequency_penalty":0},{"id":"cmpl-6kXjRQP9kAIUwAE7gz1ytuF65QqPJ" "object":"text_completion" "created":1676550773 "model":"text-davinci-003" "choices":[{"index":0 "text":"\n func foo(A: Int  B: Int) -> Int {\n     return 0\n }\n\n func bar() -> Int {\n    return 0\n }\n\n func baz(A: Int  B: Int  C: Int) -> Int {\n    return 0\n }\n\n func quark() { }\n\n func average(Count: Int  _ args: Double...) -> Double {\n    var tot: Double = 0\n    for j in 0..<Count {\n    tot += args[j]\n    }\n    return tot\/Double(Count)\n }\n\nfunc main() -> Int {\n    let A = foo(42  B: 13)\n    let B = bar()\n    var C = A + 42\n    C = baz(C  B: A  C: B)\n    quark()\n    let Avg = average(1  2  3  4  5  6  7  8  9  10  11  12)\n    return C\n }" "finish_reason":"stop"}] "usage":{"total_tokens":471 "completion_tokens":218 "prompt_tokens":253}},/swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-0/basic_01.swift:25:16: error: missing argument label 'A:' in call     let A = foo(42  B: 13)                ^                 A:  /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-0/basic_01.swift:28:12: error: missing argument label 'A:' in call     C = baz(C  B: A  C: B)            ^             A:  /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-0/basic_01.swift:30:23: error: missing argument for parameter 'Count' in call     let Avg = average(1  2  3  4  5  6  7  8  9  10  11  12)                       ^                       Count: <#Int#>   /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-0/basic_01.swift:16:7: note: 'average(Count:_:)' declared here  func average(Count: Int  _ args: Double...) -> Double {       ^  
basic_01,C,Swift,1,{"presence_penalty":0 "stop":["###"] "model":"text-davinci-003" "prompt":"# Convert this from C to Swift\n# C version\n#include <stdarg.h>\n\nint foo(int A  int B) { return 0; }\n\nint bar() { return 0; }\n\nint baz(int A  int B  int C) { return 0; }\n\nvoid quark() {}\n\ndouble average(int Count  ...) {\n  va_list Args;\n  double Tot = 0;\n  va_start(Args  Count);\n  for (int J = 0; J < Count; J++) {\n    Tot += va_arg(Args  double);\n  }\n  va_end(Args);\n  return Tot \/ Count;\n}\n\nint main() {\n  int A = foo(42  13);\n  int B = bar();\n  int C = A + 42;\n  C = baz(C  A  B);\n  quark();\n  double Avg = average(1  2  3  4  5  6  7  8  9  10  11  12);\n  return C;\n}\n# End\n # Swift version" "max_tokens":2048 "frequency_penalty":0},{"id":"cmpl-6kXjf4fnzDvQLVQDb1poAAQPR4526" "object":"text_completion" "created":1676550787 "model":"text-davinci-003" "choices":[{"index":0 "text":"\n func foo(A: Int  B: Int) -> Int { return 0 }\n\n func bar() -> Int { return 0 }\n \n func baz(A:Int  B:Int  C:Int) -> Int { return 0 }\n \n func quark() {}\n \n func average(_ Count: Int  Values: Double...) -> Double {\n   var total: Double = 0\n   \n   for value in Values {\n        total += value\n   }\n  \n   return total \/ Double(Count)\n }\n\n func main() -> Int {\n   let A = foo(A: 42  B: 13)\n   let B = bar()\n   var C = A + 42\n   C = baz(A: C  B: A  C: B)\n   quark()\n   let avg = average(1  2  3  4  5  6  7  8  9  10  11  12)\n   return C\n }" "finish_reason":"stop"}] "usage":{"total_tokens":467 "completion_tokens":214 "prompt_tokens":253}},/swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-1/basic_01.swift:26:21: error: missing argument label 'Values:' in call    let avg = average(1  2  3  4  5  6  7  8  9  10  11  12)                     ^                         Values:   
basic_01,C,Swift,1,{"presence_penalty":0 "stop":["###"] "model":"text-davinci-003" "prompt":"# Convert this from C to Swift\n# C version\n#include <stdarg.h>\n\nint foo(int A  int B) { return 0; }\n\nint bar() { return 0; }\n\nint baz(int A  int B  int C) { return 0; }\n\nvoid quark() {}\n\ndouble average(int Count  ...) {\n  va_list Args;\n  double Tot = 0;\n  va_start(Args  Count);\n  for (int J = 0; J < Count; J++) {\n    Tot += va_arg(Args  double);\n  }\n  va_end(Args);\n  return Tot \/ Count;\n}\n\nint main() {\n  int A = foo(42  13);\n  int B = bar();\n  int C = A + 42;\n  C = baz(C  A  B);\n  quark();\n  double Avg = average(1  2  3  4  5  6  7  8  9  10  11  12);\n  return C;\n}\n# End\n # Swift version" "max_tokens":2048 "frequency_penalty":0},{"id":"cmpl-6kXjqkNajz54h3uhJz58KQrvZgMd7" "object":"text_completion" "created":1676550798 "model":"text-davinci-003" "choices":[{"index":0 "text":"\nfunc foo(A: Int  B: Int) -> Int {\nreturn 0\n}\n\nfunc bar() -> Int {\n return 0\n}\n\nfunc baz(A: Int  B: Int  C: Int) -> Int {\n return 0\n}\n\nfunc quark() { }\n\nfunc average(Count: Int  Args: Double...) -> Double {\n    var Tot = 0.0\n    for J in Args {\n        Tot += J\n    }\n    return Tot \/ Double(Count)\n}\n\nfunc main() -> Int {\n    let A = foo(42  B: 13)\n    let B = bar()\n    var C = A + 42\n    C = baz(C  B: A  C: B)\n    quark()\n    let Avg = average(1  Args: 2  3  4  5  6  7  8  9  10  11  12)\n    return C\n}" "finish_reason":"stop"}] "usage":{"total_tokens":470 "completion_tokens":217 "prompt_tokens":253}},/swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-2/basic_01.swift:25:16: error: missing argument label 'A:' in call     let A = foo(42  B: 13)                ^                 A:  /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-2/basic_01.swift:28:12: error: missing argument label 'A:' in call     C = baz(C  B: A  C: B)            ^             A:  /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-2/basic_01.swift:30:22: error: missing argument label 'Count:' in call     let Avg = average(1  Args: 2  3  4  5  6  7  8  9  10  11  12)                      ^                       Count:   
basic_04,C,Swift,1,{"presence_penalty":0 "stop":["###"] "model":"text-davinci-003" "prompt":"# Convert this from C to Swift\n# C version\nint main() {\n  int I = 42;\n  int J = 13;\n  int K = I + J;\n  return K;\n}\n# End\n # Swift version" "max_tokens":2048 "frequency_penalty":0},{"id":"cmpl-6kXk3FlM8dBxRCWyWtxEikUNiVzbr" "object":"text_completion" "created":1676550811 "model":"text-davinci-003" "choices":[{"index":0 "text":"\nfunc main() -> Int {\n    let I = 42\n    let J = 13\n    let K = I + J\n    return K\n}" "finish_reason":"stop"}] "usage":{"total_tokens":86 "completion_tokens":33 "prompt_tokens":53}},error: link command failed with exit code 1 (use -v to see invocation) Undefined symbols for architecture arm64:   "_main"  referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64  
basic_04,C,Swift,1,{"presence_penalty":0 "stop":["###"] "model":"text-davinci-003" "prompt":"# Convert this from C to Swift\n# C version\nint main() {\n  int I = 42;\n  int J = 13;\n  int K = I + J;\n  return K;\n}\n# End\n # Swift version" "max_tokens":2048 "frequency_penalty":0},{"id":"cmpl-6kXk7HV6iDFJEKXYmyuP2UjkWy2Te" "object":"text_completion" "created":1676550815 "model":"text-davinci-003" "choices":[{"index":0 "text":"\nfunc main() -> Int {\n\tlet i = 42\n\tlet j = 13\n\tlet k = i + j\n\n\treturn k\n}" "finish_reason":"stop"}] "usage":{"total_tokens":86 "completion_tokens":33 "prompt_tokens":53}},error: link command failed with exit code 1 (use -v to see invocation) Undefined symbols for architecture arm64:   "_main"  referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64  
basic_04,C,Swift,1,{"presence_penalty":0 "stop":["###"] "model":"text-davinci-003" "prompt":"# Convert this from C to Swift\n# C version\nint main() {\n  int I = 42;\n  int J = 13;\n  int K = I + J;\n  return K;\n}\n# End\n # Swift version" "max_tokens":2048 "frequency_penalty":0},{"id":"cmpl-6kXkBYgHhEJmwOoTeodAYah8dUu0l" "object":"text_completion" "created":1676550819 "model":"text-davinci-003" "choices":[{"index":0 "text":"\nfunc main() -> Int {\n    let i = 42\n    let j = 13\n    let k = i + j\n    return k\n}" "finish_reason":"stop"}] "usage":{"total_tokens":86 "completion_tokens":33 "prompt_tokens":53}},error: link command failed with exit code 1 (use -v to see invocation) Undefined symbols for architecture arm64:   "_main"  referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64  
array_02,C,Swift,1,{"presence_penalty":0 "stop":["###"] "model":"text-davinci-003" "prompt":"# Convert this from C to Swift\n# C version\n#include <stdlib.h>\n\nint main() {\n  char *Buffer = (char *)malloc(128 * sizeof(char));\n  for (int I = 0; I < 128; ++I) {\n    Buffer[I] = 42;\n  }\n  Buffer[42] = 13;\n  char *P = &Buffer[42];\n  free(Buffer);\n  return 0;\n}\n# End\n # Swift version" "max_tokens":2048 "frequency_penalty":0},{"id":"cmpl-6kXkHLx5dYudGr8oEYTRRu2HD2dsx" "object":"text_completion" "created":1676550825 "model":"text-davinci-003" "choices":[{"index":0 "text":"\nvar Buffer: Array<Character> = Array(repeating: \"42\"  count: 128)\nBuffer[42] = \"13\"\nlet P = Buffer[42]\nBuffer.removeAll()" "finish_reason":"stop"}] "usage":{"total_tokens":157 "completion_tokens":44 "prompt_tokens":113}},/swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-0/array_02.swift:3:1: error: expressions are not allowed at the top level Buffer[42] = "13" ^ /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-0/array_02.swift:5:1: error: expressions are not allowed at the top level Buffer.removeAll() ^ /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-0/array_02.swift:2:49: error: cannot convert value of type 'String' to expected argument type 'Character' var Buffer: Array<Character> = Array(repeating: "42"  count: 128)                                                 ^ /swift-llvm-statistics-comparison/AutoTranspiledTests/Taint-C-to-Swift/try-0/array_02.swift:3:14: error: cannot assign value of type 'String' to subscript of type 'Character' Buffer[42] = "13"              ^~~~  
